AIRLINE,ORIGIN,DEST,Carrier_Delays,Weather_Delays,NAS_Delays,Security_Delays,Late_Aircraft_Delays,Total_Flights
United Air Lines Inc.,EWR,SRQ,41,2,44,0,29,245
United Air Lines Inc.,IAH,BNA,32,3,17,0,24,245
Allegiant Air,SFB,AVL,30,3,33,2,46,244
Delta Air Lines Inc.,ATL,PWM,23,3,22,0,21,244
Mesa Airlines Inc.,IAH,CMH,22,5,12,0,2,244
SkyWest Airlines Inc.,CID,MSP,12,3,13,0,14,244
SkyWest Airlines Inc.,DFW,LAW,13,2,9,1,15,244
SkyWest Airlines Inc.,DFW,LRD,25,6,2,0,14,244
Southwest Airlines Co.,BNA,IAH,21,1,15,0,29,244
Southwest Airlines Co.,DEN,RDU,62,1,27,0,58,244
Southwest Airlines Co.,MKE,DCA,19,1,23,0,20,244
Alaska Airlines Inc.,ANC,SCC,7,9,18,0,4,243
American Airlines Inc.,SAT,ORD,15,3,25,0,15,243
American Airlines Inc.,TUS,PHX,7,1,16,0,16,243
Delta Air Lines Inc.,DTW,IAH,33,2,22,0,14,243
Endeavor Air Inc.,CVG,EWR,7,2,30,0,10,243
Endeavor Air Inc.,DLH,MSP,5,1,13,0,22,243
Envoy Air,ORD,MCI,12,12,33,1,19,243
Mesa Airlines Inc.,PIT,IAD,5,2,9,0,17,243
PSA Airlines Inc.,PIT,CLT,12,3,12,0,25,243
Republic Airline,DTW,PHL,12,0,11,0,7,243
Republic Airline,RDU,ORD,6,1,40,0,17,243
SkyWest Airlines Inc.,CLE,ORD,10,0,23,0,41,243
Southwest Airlines Co.,ATL,MEM,34,0,10,0,31,243
Southwest Airlines Co.,MKE,STL,23,2,13,0,37,243
Spirit Air Lines,FLL,CLE,35,2,34,5,14,243
United Air Lines Inc.,CMH,DEN,24,1,32,0,11,243
United Air Lines Inc.,IAD,AUS,13,0,16,0,16,243
American Airlines Inc.,IAH,ORD,19,5,30,0,30,242
Delta Air Lines Inc.,DEN,LGA,21,6,35,0,19,242
Endeavor Air Inc.,LGA,BNA,20,1,27,0,16,242
Envoy Air,GRI,DFW,27,6,31,0,15,242
Envoy Air,ORD,ICT,14,6,23,0,7,242
JetBlue Airways,RSW,EWR,42,2,38,0,48,242
Mesa Airlines Inc.,DFW,MLI,30,5,17,1,32,242
Mesa Airlines Inc.,IAH,MSP,23,4,11,0,9,242
Mesa Airlines Inc.,PHX,ONT,35,0,20,0,32,242
Republic Airline,DTW,ORD,8,0,27,0,20,242
Republic Airline,SAV,EWR,11,0,37,0,24,242
SkyWest Airlines Inc.,BZN,DEN,23,2,12,0,14,242
SkyWest Airlines Inc.,CNY,DEN,16,6,11,0,17,242
SkyWest Airlines Inc.,MEM,ORD,14,2,10,1,31,242
SkyWest Airlines Inc.,ORD,MKG,28,2,9,0,13,242
SkyWest Airlines Inc.,RDM,LAX,19,1,8,0,11,242
Southwest Airlines Co.,DEN,IAH,69,5,45,0,65,242
Southwest Airlines Co.,TUS,LAX,24,1,26,0,35,242
Spirit Air Lines,MCO,MSY,36,9,43,0,12,242
United Air Lines Inc.,BOS,LAX,17,3,14,0,8,242
United Air Lines Inc.,LAX,KOA,15,0,15,0,6,242
Alaska Airlines Inc.,STL,SEA,15,2,19,0,15,241
Allegiant Air,BLI,LAS,10,3,14,0,7,241
Delta Air Lines Inc.,PWM,ATL,34,4,18,0,10,241
Endeavor Air Inc.,GSP,LGA,16,1,32,0,13,241
Endeavor Air Inc.,LGA,SAV,15,1,29,0,24,241
Frontier Airlines Inc.,DEN,MSP,31,1,16,0,20,241
JetBlue Airways,HPN,RSW,29,2,21,0,5,241
JetBlue Airways,JFK,DEN,50,1,29,0,33,241
Republic Airline,IAD,IND,14,6,14,0,10,241
Republic Airline,MEM,DCA,11,3,19,0,11,241
SkyWest Airlines Inc.,BNA,MSP,23,8,4,0,3,241
SkyWest Airlines Inc.,ONT,SEA,8,3,1,0,1,241
Southwest Airlines Co.,PIT,ATL,16,1,9,0,26,241
Southwest Airlines Co.,TPA,BUF,25,1,9,0,27,241
Southwest Airlines Co.,TPA,SJU,37,3,9,0,47,241
Spirit Air Lines,ATL,DFW,33,1,42,0,16,241
Spirit Air Lines,MCO,PIT,50,11,53,0,27,241
Alaska Airlines Inc.,SEA,FLL,20,3,30,0,4,240
American Airlines Inc.,ORD,MCI,49,8,38,0,39,240
American Airlines Inc.,PHX,MCI,28,0,10,0,25,240
Delta Air Lines Inc.,SEA,MCO,17,1,25,0,6,240
Endeavor Air Inc.,EWR,CVG,15,2,16,0,35,240
Endeavor Air Inc.,LGA,BTV,23,3,24,0,28,240
Endeavor Air Inc.,LGA,GSP,17,1,29,0,28,240
Endeavor Air Inc.,MSP,FSD,10,1,12,0,6,240
Frontier Airlines Inc.,PHL,SJU,53,1,51,0,21,240
Southwest Airlines Co.,MKE,TPA,22,0,16,0,24,240
Southwest Airlines Co.,MSY,DCA,32,5,21,0,37,240
Southwest Airlines Co.,SJC,HNL,28,0,17,0,15,240
Spirit Air Lines,MYR,LGA,12,2,33,0,10,240
Spirit Air Lines,PIT,MCO,28,2,35,0,14,240
United Air Lines Inc.,IAH,ATL,37,6,27,0,25,240
United Air Lines Inc.,ORD,SAT,27,5,19,0,26,240
Allegiant Air,LAS,SCK,22,2,25,0,20,239
Allegiant Air,SFB,ABE,28,8,34,0,39,239
Envoy Air,ORD,MSP,12,16,27,0,16,239
PSA Airlines Inc.,CLT,DSM,18,2,15,1,15,239
Republic Airline,DCA,STL,19,2,19,1,14,239
SkyWest Airlines Inc.,ATL,CHA,21,6,10,0,15,239
SkyWest Airlines Inc.,EWR,MSP,25,7,7,0,8,239
SkyWest Airlines Inc.,LRD,DFW,18,1,6,0,7,239
SkyWest Airlines Inc.,MHK,DFW,15,2,6,0,13,239
SkyWest Airlines Inc.,ORD,TUL,36,3,6,0,21,239
SkyWest Airlines Inc.,ORD,TYS,29,3,11,0,19,239
Southwest Airlines Co.,MEM,ATL,36,4,17,0,34,239
American Airlines Inc.,ORD,PBI,28,10,27,1,14,238
Endeavor Air Inc.,BTV,LGA,13,9,36,0,14,238
Envoy Air,TOL,ORD,10,5,22,0,17,238
Mesa Airlines Inc.,IAH,JAX,29,2,6,0,4,238
Mesa Airlines Inc.,MFE,IAH,4,1,15,0,11,238
Mesa Airlines Inc.,PIA,DFW,24,7,28,1,26,238
Republic Airline,DCA,SDF,11,2,19,0,21,238
Republic Airline,MCI,EWR,4,3,46,0,19,238
Republic Airline,SDF,EWR,18,2,37,0,7,238
Republic Airline,STL,DCA,6,1,17,0,7,238
SkyWest Airlines Inc.,BFL,PHX,10,1,1,0,11,238
SkyWest Airlines Inc.,ORD,CLE,20,2,12,0,31,238
Southwest Airlines Co.,BHM,MDW,25,3,18,1,31,238
Southwest Airlines Co.,RNO,OAK,16,0,6,0,12,238
Spirit Air Lines,DFW,ATL,21,3,37,2,10,238
United Air Lines Inc.,ATL,IAH,24,3,32,0,25,238
American Airlines Inc.,ORD,JFK,38,10,37,2,37,237
Delta Air Lines Inc.,MSP,ANC,23,1,22,0,6,237
Envoy Air,GSO,ORD,17,2,15,0,17,237
Horizon Air,FCA,SEA,10,3,30,0,13,237
JetBlue Airways,EWR,RSW,43,1,29,0,31,237
Mesa Airlines Inc.,LFT,DFW,27,8,38,1,25,237
Republic Airline,MCI,ORD,6,2,18,0,11,237
SkyWest Airlines Inc.,APN,DTW,16,9,4,0,7,237
SkyWest Airlines Inc.,DEN,PUB,19,4,10,0,8,237
SkyWest Airlines Inc.,DEN,RDM,19,1,7,0,9,237
SkyWest Airlines Inc.,DRO,PHX,17,1,0,1,16,237
Southwest Airlines Co.,ATL,SAT,29,3,9,0,31,237
Southwest Airlines Co.,BUF,TPA,19,0,21,0,28,237
Southwest Airlines Co.,BWI,MYR,61,1,13,0,49,237
Southwest Airlines Co.,IAH,MSY,19,1,12,0,41,237
Southwest Airlines Co.,STL,OKC,36,1,15,0,44,237
Spirit Air Lines,MCO,CLT,48,7,59,2,27,237
United Air Lines Inc.,LAX,BOS,13,1,10,0,8,237
Delta Air Lines Inc.,SLC,BZN,26,5,19,0,15,236
Endeavor Air Inc.,DTW,GRR,15,3,11,1,7,236
Endeavor Air Inc.,MSP,ATW,10,2,12,0,1,236
Envoy Air,DFW,CID,9,5,14,0,10,236
JetBlue Airways,FLL,ATL,57,3,36,1,32,236
PSA Airlines Inc.,BUF,DCA,19,2,19,0,25,236
Republic Airline,EWR,MCI,23,0,30,0,20,236
Republic Airline,EWR,MKE,30,3,32,0,32,236
SkyWest Airlines Inc.,TRI,ATL,15,6,14,0,20,236
Spirit Air Lines,FLL,PIT,35,8,38,5,18,236
Spirit Air Lines,TPA,ORD,12,6,33,0,16,236
United Air Lines Inc.,EWR,CLT,42,2,27,0,39,236
United Air Lines Inc.,KOA,LAX,9,0,10,0,6,236
United Air Lines Inc.,ORD,ALB,32,5,29,0,36,236
United Air Lines Inc.,RSW,DEN,22,8,34,0,20,236
American Airlines Inc.,PHL,SJU,35,0,22,3,20,235
Delta Air Lines Inc.,SEA,AUS,28,0,26,0,8,235
Delta Air Lines Inc.,SJC,ATL,5,1,8,0,9,235
Endeavor Air Inc.,ATW,MSP,7,1,7,0,9,235
Endeavor Air Inc.,GRR,DTW,4,1,10,0,15,235
Endeavor Air Inc.,IND,MSP,9,0,13,0,15,235
JetBlue Airways,SYR,JFK,28,2,17,0,20,235
PSA Airlines Inc.,BHM,PHL,31,3,20,1,31,235
Republic Airline,BTV,DCA,13,0,19,1,11,235
SkyWest Airlines Inc.,BOI,PDX,16,0,12,0,4,235
SkyWest Airlines Inc.,GRB,DTW,13,6,5,0,9,235
SkyWest Airlines Inc.,IAH,BNA,19,3,6,0,10,235
SkyWest Airlines Inc.,MDW,DTW,14,13,9,0,10,235
SkyWest Airlines Inc.,ORD,OMA,21,4,8,0,24,235
Southwest Airlines Co.,ABQ,MDW,28,1,9,0,25,235
Southwest Airlines Co.,DAL,MEM,32,1,19,0,28,235
Southwest Airlines Co.,MYR,BWI,20,2,12,0,25,235
Southwest Airlines Co.,STL,DTW,22,1,17,0,28,235
Spirit Air Lines,IND,MCO,30,2,43,0,25,235
Delta Air Lines Inc.,DTW,JAX,24,1,15,0,13,234
Delta Air Lines Inc.,SEA,PDX,27,5,16,1,18,234
Delta Air Lines Inc.,SMF,MSP,15,0,11,0,4,234
Endeavor Air Inc.,FWA,ATL,15,3,12,0,12,234
Envoy Air,ORD,DTW,24,6,25,0,28,234
Frontier Airlines Inc.,SFO,LAS,27,0,35,0,34,234
JetBlue Airways,RDU,FLL,37,0,24,0,15,234
Mesa Airlines Inc.,SBA,PHX,17,0,23,0,38,234
PSA Airlines Inc.,CLT,DTW,27,3,16,2,16,234
SkyWest Airlines Inc.,DEN,EUG,28,6,7,0,9,234
SkyWest Airlines Inc.,DEN,RKS,25,2,9,0,14,234
SkyWest Airlines Inc.,LAX,SAT,14,0,2,0,19,234
SkyWest Airlines Inc.,PHX,OKC,18,0,1,0,7,234
SkyWest Airlines Inc.,SEA,ONT,11,2,1,0,0,234
Southwest Airlines Co.,ALB,MCO,23,1,30,0,29,234
Southwest Airlines Co.,LGA,TPA,42,3,25,0,42,234
United Air Lines Inc.,BZN,ORD,19,1,26,0,20,234
United Air Lines Inc.,MSN,DEN,16,2,21,0,7,234
Delta Air Lines Inc.,GPT,ATL,14,1,16,0,10,233
Delta Air Lines Inc.,GRR,MSP,5,1,11,0,5,233
Endeavor Air Inc.,JFK,CHS,12,1,25,0,18,233
Mesa Airlines Inc.,PHX,SBA,28,1,12,0,27,233
PSA Airlines Inc.,CLT,PIT,18,1,14,0,17,233
PSA Airlines Inc.,PHL,BHM,18,4,30,0,22,233
Republic Airline,EWR,BNA,25,0,22,0,18,233
SkyWest Airlines Inc.,CVG,ORD,28,3,10,0,23,233
SkyWest Airlines Inc.,DTW,MDW,23,6,6,0,6,233
SkyWest Airlines Inc.,DTW,SDF,30,5,4,0,4,233
SkyWest Airlines Inc.,OMA,DEN,9,1,17,0,9,233
Southwest Airlines Co.,LAS,MSY,69,0,27,0,59,233
Spirit Air Lines,CLE,FLL,28,2,39,1,13,233
Spirit Air Lines,ORD,TPA,25,1,43,1,14,233
Alaska Airlines Inc.,SFO,SAN,19,0,25,0,10,232
American Airlines Inc.,CLT,EYW,28,6,30,0,24,232
Delta Air Lines Inc.,BOS,CVG,24,1,20,0,25,232
Envoy Air,ORD,TYS,11,8,26,0,10,232
JetBlue Airways,ATL,FLL,50,1,26,0,26,232
PSA Airlines Inc.,PHL,DTW,20,2,19,0,14,232
SkyWest Airlines Inc.,BZN,LAX,13,3,5,0,15,232
SkyWest Airlines Inc.,DEN,OMA,27,2,4,0,14,232
SkyWest Airlines Inc.,PHX,DRO,8,0,0,0,19,232
SkyWest Airlines Inc.,PHX,MFR,16,0,3,0,17,232
Southwest Airlines Co.,MCI,TPA,30,0,27,0,32,232
Southwest Airlines Co.,SAN,STL,19,0,17,0,12,232
Spirit Air Lines,CLT,MCO,35,3,56,0,36,232
United Air Lines Inc.,DEN,SLC,30,2,23,0,23,232
United Air Lines Inc.,ORD,OMA,30,5,22,0,30,232
Alaska Airlines Inc.,PHL,SEA,16,2,32,0,12,231
American Airlines Inc.,DFW,BOI,39,2,26,0,25,231
American Airlines Inc.,DFW,BZN,33,8,25,0,25,231
Delta Air Lines Inc.,RSW,LGA,22,4,28,0,17,231
Endeavor Air Inc.,DTW,ALB,16,0,11,0,3,231
Envoy Air,DFW,MOB,19,3,19,0,16,231
Frontier Airlines Inc.,LAS,MCO,45,1,28,0,33,231
Frontier Airlines Inc.,RSW,PHL,31,1,34,0,39,231
PSA Airlines Inc.,CVG,DCA,33,2,25,0,20,231
PSA Airlines Inc.,DCA,ROC,26,3,25,0,29,231
PSA Airlines Inc.,DSM,CLT,9,2,19,0,15,231
Republic Airline,IAD,PIT,12,2,12,0,8,231
Republic Airline,SDF,PHL,13,3,18,0,5,231
SkyWest Airlines Inc.,CHA,ATL,8,9,15,0,25,231
SkyWest Airlines Inc.,DEN,GTF,25,4,0,0,3,231
SkyWest Airlines Inc.,LIT,DEN,19,7,14,0,20,231
SkyWest Airlines Inc.,PDX,BOI,17,0,5,0,13,231
SkyWest Airlines Inc.,SFO,PHX,16,2,2,0,8,231
Southwest Airlines Co.,ATL,PIT,19,0,7,0,20,231
Southwest Airlines Co.,FLL,AUS,30,2,25,3,22,231
Southwest Airlines Co.,OAK,RNO,35,0,8,1,36,231
American Airlines Inc.,AUS,JFK,20,7,19,0,15,230
American Airlines Inc.,LAX,BNA,33,0,24,1,34,230
Delta Air Lines Inc.,BZN,SLC,12,0,19,0,7,230
Delta Air Lines Inc.,LAX,TPA,29,1,23,1,22,230
Endeavor Air Inc.,CHS,JFK,15,0,25,1,20,230
JetBlue Airways,BOS,MSP,46,1,25,0,26,230
JetBlue Airways,SAV,BOS,44,0,30,0,47,230
Mesa Airlines Inc.,ABQ,PHX,11,1,10,1,20,230
Mesa Airlines Inc.,MLI,DFW,15,6,20,0,12,230
Mesa Airlines Inc.,RDU,IAD,8,3,13,0,8,230
PSA Airlines Inc.,PNS,DCA,26,5,29,1,17,230
Republic Airline,BOS,BNA,31,1,20,0,20,230
SkyWest Airlines Inc.,ASE,IAH,40,14,15,0,28,230
SkyWest Airlines Inc.,LAX,RDM,14,0,9,0,17,230
SkyWest Airlines Inc.,MSP,MCI,22,6,4,0,2,230
SkyWest Airlines Inc.,PDX,SFO,13,0,8,0,8,230
Southwest Airlines Co.,IAD,ATL,15,1,12,0,17,230
Southwest Airlines Co.,JAN,HOU,13,0,7,0,16,230
Southwest Airlines Co.,LAS,COS,44,0,18,0,48,230
Southwest Airlines Co.,SJU,TPA,16,0,11,1,22,230
Spirit Air Lines,BOS,MYR,20,3,23,0,10,230
Spirit Air Lines,RSW,ORD,17,2,35,1,19,230
Envoy Air,DFW,SPI,17,3,15,0,16,229
Frontier Airlines Inc.,DEN,IAH,31,4,35,0,29,229
JetBlue Airways,JFK,MSY,49,1,31,0,26,229
Mesa Airlines Inc.,IAH,MFE,26,4,4,0,10,229
Republic Airline,ORD,DTW,13,2,21,0,12,229
Republic Airline,ORD,MCI,17,4,24,0,13,229
SkyWest Airlines Inc.,MRY,SFO,13,0,15,0,11,229
SkyWest Airlines Inc.,MSP,GRB,21,10,8,1,6,229
SkyWest Airlines Inc.,OKC,PHX,27,1,2,0,10,229
SkyWest Airlines Inc.,ORD,AVL,36,2,16,0,19,229
Southwest Airlines Co.,ABQ,LAX,36,1,14,0,33,229
Southwest Airlines Co.,AUS,FLL,28,3,17,3,28,229
Spirit Air Lines,BNA,MCO,31,4,56,1,27,229
United Air Lines Inc.,JAX,EWR,20,5,38,0,20,229
American Airlines Inc.,DFW,BDL,46,2,21,0,40,228
Delta Air Lines Inc.,LGA,RSW,29,2,21,0,29,228
Delta Air Lines Inc.,MSP,FAR,20,5,19,0,9,228
Endeavor Air Inc.,FSD,MSP,5,2,8,0,13,228
Endeavor Air Inc.,HSV,ATL,11,2,7,0,7,228
Endeavor Air Inc.,MCI,LGA,8,2,29,0,23,228
JetBlue Airways,MSP,BOS,41,0,30,0,31,228
Mesa Airlines Inc.,IAD,PIT,19,1,5,0,8,228
Republic Airline,ATL,PHL,16,1,11,0,10,228
SkyWest Airlines Inc.,DEN,ELP,28,2,5,0,10,228
SkyWest Airlines Inc.,PIT,DTW,15,13,2,0,2,228
Southwest Airlines Co.,JAN,ATL,18,0,8,0,19,228
Southwest Airlines Co.,MDW,BHM,51,1,26,0,42,228
Southwest Airlines Co.,OGG,SJC,13,0,9,0,24,228
Southwest Airlines Co.,PHX,COS,46,0,11,0,44,228
Southwest Airlines Co.,STL,MSP,25,1,18,0,34,228
United Air Lines Inc.,SMF,IAH,10,0,13,0,10,228
Alaska Airlines Inc.,SEA,STL,15,0,23,0,16,227
American Airlines Inc.,CLT,STT,16,3,19,0,6,227
American Airlines Inc.,PHX,BOI,38,1,22,0,25,227
Delta Air Lines Inc.,MSP,SMF,16,2,19,0,9,227
Endeavor Air Inc.,SAV,LGA,8,8,36,0,21,227
JetBlue Airways,FLL,RDU,58,4,18,2,42,227
Mesa Airlines Inc.,DTW,IAH,9,3,17,0,11,227
PSA Airlines Inc.,STL,DCA,30,5,22,0,34,227
Republic Airline,LGA,ORF,9,2,22,0,22,227
SkyWest Airlines Inc.,DFW,COU,17,2,4,0,22,227
SkyWest Airlines Inc.,DTW,ESC,31,4,7,0,7,227
SkyWest Airlines Inc.,MFR,PHX,12,0,3,0,10,227
SkyWest Airlines Inc.,MSP,BNA,27,1,3,0,3,227
Southwest Airlines Co.,HOU,IND,36,3,10,0,29,227
Southwest Airlines Co.,IAH,BNA,27,2,16,0,29,227
Southwest Airlines Co.,SAT,ELP,26,0,9,0,32,227
Spirit Air Lines,EWR,LAS,25,5,46,1,13,227
Spirit Air Lines,TPA,ATL,13,1,21,0,13,227
United Air Lines Inc.,CVG,DEN,19,3,24,0,16,227
United Air Lines Inc.,SRQ,EWR,26,2,45,0,34,227
American Airlines Inc.,BWI,MIA,23,0,18,0,11,226
American Airlines Inc.,CMH,CLT,18,3,22,0,28,226
American Airlines Inc.,GEG,PHX,15,1,18,0,18,226
Delta Air Lines Inc.,FAR,MSP,11,3,18,0,0,226
Delta Air Lines Inc.,JFK,BOS,22,1,38,0,25,226
Endeavor Air Inc.,MSP,DLH,7,1,6,0,2,226
Envoy Air,MEM,ORD,28,3,35,0,29,226
Frontier Airlines Inc.,DFW,LAS,41,2,42,0,50,226
JetBlue Airways,SEA,JFK,65,1,47,0,45,226
PSA Airlines Inc.,SAV,DCA,21,0,23,0,19,226
Republic Airline,DCA,MEM,9,3,12,0,23,226
SkyWest Airlines Inc.,MSP,STL,23,11,3,0,2,226
Southwest Airlines Co.,BNA,CLT,24,2,12,0,31,226
Southwest Airlines Co.,SDF,MCO,18,0,14,0,16,226
American Airlines Inc.,GSP,DFW,37,3,23,1,24,225
JetBlue Airways,JFK,SEA,28,2,26,1,8,225
Republic Airline,DCA,BDL,11,1,25,0,20,225
Republic Airline,MCI,DCA,15,1,18,0,9,225
SkyWest Airlines Inc.,ESC,DTW,22,4,9,3,14,225
SkyWest Airlines Inc.,SAT,SLC,12,4,4,0,4,225
SkyWest Airlines Inc.,TYS,ORD,10,0,8,0,10,225
United Air Lines Inc.,ORD,BNA,24,5,27,0,26,225
United Air Lines Inc.,ORD,BZN,18,5,19,0,23,225
American Airlines Inc.,CLT,MKE,34,2,20,1,30,224
American Airlines Inc.,JFK,ORD,18,3,31,1,16,224
Delta Air Lines Inc.,CVG,BOS,12,4,24,0,18,224
Envoy Air,DFW,MCI,9,5,14,0,16,224
Envoy Air,LEX,ORD,12,3,22,0,18,224
Envoy Air,MOB,DFW,27,5,32,0,29,224
JetBlue Airways,DEN,JFK,55,3,34,1,64,224
PSA Airlines Inc.,DCA,PNS,29,1,30,0,33,224
Republic Airline,BNA,EWR,15,0,35,0,9,224
Republic Airline,GSO,LGA,16,2,25,0,23,224
SkyWest Airlines Inc.,PUB,DEN,18,2,16,0,12,224
SkyWest Airlines Inc.,SAN,STS,11,1,5,0,21,224
SkyWest Airlines Inc.,SFO,PDX,14,0,6,0,17,224
Alaska Airlines Inc.,SEA,MSY,14,2,29,1,15,223
American Airlines Inc.,BNA,PHL,15,1,17,0,17,223
American Airlines Inc.,GRR,DFW,26,5,23,1,33,223
American Airlines Inc.,JFK,AUS,27,3,23,0,27,223
Endeavor Air Inc.,ATW,DTW,16,2,16,0,10,223
Endeavor Air Inc.,BNA,JFK,8,3,21,0,16,223
Envoy Air,DFW,BHM,14,4,21,0,23,223
Envoy Air,DFW,GRR,13,5,21,0,14,223
Envoy Air,ORD,SYR,15,9,16,0,14,223
Hawaiian Airlines Inc.,ITO,OGG,11,1,0,0,14,223
PSA Airlines Inc.,PHL,PVD,19,1,17,0,20,223
Republic Airline,IND,IAD,10,1,9,0,6,223
Republic Airline,RIC,BOS,13,2,14,0,6,223
Republic Airline,SDF,DCA,9,0,13,0,9,223
SkyWest Airlines Inc.,DEN,BFL,20,1,9,0,8,223
SkyWest Airlines Inc.,DEN,CNY,19,3,7,0,8,223
SkyWest Airlines Inc.,ELM,DTW,15,14,4,0,4,223
SkyWest Airlines Inc.,PHX,SFO,14,0,4,0,13,223
Southwest Airlines Co.,HOU,ECP,25,2,7,0,17,223
Southwest Airlines Co.,PHX,ORD,49,0,37,0,39,223
Southwest Airlines Co.,SAT,MCO,23,2,25,1,35,223
Spirit Air Lines,ORD,ATL,31,1,42,0,19,223
United Air Lines Inc.,DEN,CVG,25,7,20,0,20,223
United Air Lines Inc.,IAD,ATL,33,9,42,0,19,223
Allegiant Air,SCK,LAS,37,4,45,4,70,222
Endeavor Air Inc.,LGA,SYR,9,2,17,0,22,222
Envoy Air,MDT,ORD,13,2,30,0,23,222
Envoy Air,STL,ORD,14,3,18,0,17,222
ExpressJet Airlines LLC d/b/a aha!,LFT,IAH,7,1,25,0,17,222
PSA Airlines Inc.,DCA,GRR,31,6,32,0,37,222
Republic Airline,LGA,GSO,15,3,33,1,23,222
Southwest Airlines Co.,MCO,SDF,30,0,22,0,28,222
Spirit Air Lines,CMH,MCO,18,5,33,0,12,222
Spirit Air Lines,LAS,EWR,24,1,42,0,7,222
United Air Lines Inc.,ALB,ORD,13,1,29,0,13,222
United Air Lines Inc.,DEN,ANC,43,2,37,0,25,222
United Air Lines Inc.,DEN,IND,34,4,33,0,23,222
Allegiant Air,AVL,SFB,24,7,26,0,34,221
Delta Air Lines Inc.,SNA,SEA,10,0,13,0,26,221
Endeavor Air Inc.,JFK,BNA,9,1,16,0,13,221
Envoy Air,DFW,BIL,19,1,20,1,11,221
Envoy Air,ORD,STL,26,6,39,0,21,221
Envoy Air,TLH,DFW,21,4,14,0,13,221
Mesa Airlines Inc.,BMI,DFW,9,3,18,1,18,221
Mesa Airlines Inc.,DFW,BMI,34,4,22,0,44,221
PSA Airlines Inc.,DCA,SAV,28,4,26,0,34,221
PSA Airlines Inc.,DTW,CLT,12,2,19,2,29,221
Republic Airline,CVG,LGA,8,1,24,0,9,221
SkyWest Airlines Inc.,AUS,LAX,19,1,4,0,11,221
SkyWest Airlines Inc.,IAH,ASE,37,8,17,0,18,221
SkyWest Airlines Inc.,PBG,IAD,21,2,9,0,4,221
SkyWest Airlines Inc.,SYR,ORD,14,0,17,0,15,221
Southwest Airlines Co.,MDW,SJC,35,0,28,0,18,221
Spirit Air Lines,EWR,MYR,14,1,35,0,14,221
Spirit Air Lines,IAH,ORD,21,5,37,0,13,221
Spirit Air Lines,MYR,EWR,11,1,34,0,8,221
United Air Lines Inc.,IAD,RSW,22,2,25,0,14,221
Alaska Airlines Inc.,SAT,SEA,19,2,28,0,29,220
American Airlines Inc.,MKE,PHX,14,1,13,0,7,220
American Airlines Inc.,SJU,DFW,17,2,13,0,10,220
Endeavor Air Inc.,DTW,GRB,7,2,11,0,3,220
Endeavor Air Inc.,DTW,MDT,13,2,9,0,10,220
Envoy Air,CLT,XNA,40,9,42,2,32,220
Frontier Airlines Inc.,LAS,PHX,42,1,30,0,39,220
JetBlue Airways,MCO,PVD,47,3,25,2,40,220
PSA Airlines Inc.,DTW,PHL,7,2,16,0,15,220
PSA Airlines Inc.,TYS,PHL,22,2,13,0,15,220
Republic Airline,CLE,JFK,11,0,23,0,14,220
Republic Airline,EWR,ORF,25,0,24,0,17,220
Republic Airline,ORD,MSP,13,2,23,0,11,220
SkyWest Airlines Inc.,ATL,CRW,12,7,6,0,6,220
SkyWest Airlines Inc.,DFW,COS,29,6,2,0,17,220
SkyWest Airlines Inc.,EUG,DEN,23,1,6,0,12,220
Southwest Airlines Co.,SJC,MDW,24,0,17,0,16,220
Spirit Air Lines,BUR,LAS,14,2,34,1,18,220
Spirit Air Lines,EWR,ATL,15,1,33,0,14,220
Spirit Air Lines,MCO,IND,33,4,44,2,18,220
American Airlines Inc.,BDL,DFW,22,3,26,2,13,219
American Airlines Inc.,BDL,ORD,19,3,25,0,20,219
American Airlines Inc.,DFW,GRR,47,6,28,0,34,219
American Airlines Inc.,FLL,ORD,23,4,30,0,27,219
American Airlines Inc.,MIA,BWI,42,6,26,1,24,219
American Airlines Inc.,PBI,DCA,14,0,17,0,21,219
Delta Air Lines Inc.,MSP,GRR,24,2,10,0,9,219
Delta Air Lines Inc.,PDX,SEA,8,0,11,0,9,219
Envoy Air,DFW,DRT,16,3,11,0,13,219
Envoy Air,DFW,MEM,14,7,26,0,11,219
Envoy Air,PVD,ORD,18,0,28,1,15,219
Frontier Airlines Inc.,LGA,ATL,36,4,36,0,58,219
Mesa Airlines Inc.,SAV,IAH,7,7,18,0,8,219
PSA Airlines Inc.,GRR,DCA,24,7,21,0,26,219
Republic Airline,BOS,RIC,14,1,10,0,8,219
Republic Airline,SDF,DTW,17,2,11,0,7,219
SkyWest Airlines Inc.,COS,DFW,36,3,5,0,13,219
SkyWest Airlines Inc.,MQT,DTW,15,8,6,0,9,219
Southwest Airlines Co.,IAD,MDW,13,0,13,0,26,219
Southwest Airlines Co.,ORD,PHX,47,0,31,0,38,219
Southwest Airlines Co.,ORF,MDW,26,2,11,0,33,219
Southwest Airlines Co.,SJC,OGG,23,0,25,0,20,219
Southwest Airlines Co.,STL,MSY,28,1,23,0,23,219
United Air Lines Inc.,BUF,ORD,23,3,19,0,11,219
United Air Lines Inc.,BWI,IAH,13,3,18,0,11,219
United Air Lines Inc.,PDX,EWR,33,1,27,0,33,219
Alaska Airlines Inc.,OGG,PDX,17,0,41,0,29,218
Delta Air Lines Inc.,ATL,GPT,20,3,9,0,8,218
Endeavor Air Inc.,ALB,DTW,4,3,9,0,8,218
Envoy Air,DAY,ORD,13,1,21,0,12,218
